activity_group_code,day_of_week,start_time,weeks,duration,location
Advanced Dynamics Lab A,Monday,10:00,1-18,150,Robotics Lab 2.10
Advanced Dynamics Lab B,Monday,14:30,1-18,150,Robotics Lab 2.10
Control Systems Tutorial A,Tuesday,09:00,1-18,90,Engineering 4.08
Control Systems Tutorial B,Tuesday,13:00,1-18,90,Engineering 4.08
FEA Workshop A,Wednesday,10:00,1-18,120,Computer Lab G.15
FEA Workshop B,Wednesday,14:00,1-18,120,Computer Lab G.15
Vibrations Lab A,Thursday,09:00,1-18,120,Dynamics Lab 1.12
Vibrations Lab B,Thursday,13:30,1-18,120,Dynamics Lab 1.12
Heat Transfer Tutorial A,Friday,10:00,1-18,90,Engineering 2.20
Heat Transfer Tutorial B,Friday,14:00,1-18,90,Engineering 2.20
